#ProvID; Culture; Religion; TradeGoods; Citizens; Freedmen; Slaves; Tribesmen; Civilization; Barbarian; NameRef;AraRef
1,,,,0,0,0,0,0,0,Roma,
2,roman,roman_pantheon,wine,7,8,6,0,0,0,Tibur,Latium
3,roman,roman_pantheon,salt,8,8,3,0,0,0,Lavinium,Latium
4,roman,roman_pantheon,wood,8,8,5,0,0,0,Circeii,Latium
5,roman,roman_pantheon,cloth,8,8,6,0,0,0,Fundi,Latium
6,roman,roman_pantheon,wine,7,7,6,0,0,0,Capua,Latium
7,samnite,roman_pantheon,wood,3,6,3,2,0,0,Neapolis,Latium
8,samnite,roman_pantheon,cloth,3,4,3,1,0,0,Saticula,Latium
9,samnite,roman_pantheon,wine,3,5,3,1,0,0,Pompeii,roma_area2
10,samnite,roman_pantheon,olive,4,4,3,0,0,0,Salernum,roma_area2
11,lucanian,roman_pantheon,wood,2,3,5,2,0,0,Paestum,roma_area2
12,lucanian,roman_pantheon,fish,1,3,4,3,0,0,Velia,Latium
13,lucanian,roman_pantheon,wood,3,4,3,2,0,0,Blanda,Latium
14,roman,roman_pantheon,hemp,6,6,4,2,0,0,Caere,roma_area2
15,roman,roman_pantheon,iron,5,6,3,1,0,0,Veii,Latium
16,,,,0,0,0,0,0,0,Veii,
